Philadelphia Eagles|league=National Football League
Washington Redskins|league=National Football League
Chicago Bears|league=National Football League
Detroit Lions|league=National Football League
Green Bay Packers|league=National Football League
Minnesota Vikings|league=National Football League
Atlanta Falcons|league=National Football League
Carolina Panthers|league=National Football League
New Orleans Saints|league=National Football League
Tampa Bay Buccaneers|league=National Football League
Arizona Cardinals|league=National Football League
St. Louis Rams|league=National Football League
San Francisco 49ers|league=National Football League
Seattle Seahawks|league=National Football League
Las Vegas Locomotives|league=United Football League
Omaha Nighthawks|league=United Football League
Sacramento Mountain Lions|league=United Football League
Virginia Destroyers|league=United Football League
Manchester Monarchs|league=American Hockey League
Portland Pirates|league=American Hockey League
Providence Bruins|league=American Hockey League
St. John's IceCaps|league=American Hockey League
Worcester Sharks|league=American Hockey League
Adirondack Phantoms|league=American Hockey League
Albany Devils|league=American Hockey League
Bridgeport Sound Tigers|league=American Hockey League
Connecticut Whale|league=American Hockey League
Springfield Falcons|league=American Hockey League
Binghamton Senators|league=American Hockey League
Hershey Bears|league=American Hockey League
Norfolk Admirals|league=American Hockey League
Syracuse Crunch|league=American Hockey League
Wilkes-Barre/Scranton Penguins|league=American Hockey League
Abbotsford Heat|league=American Hockey League
Hamilton Bulldogs|league=American Hockey League
Lake Erie Monsters|league=American Hockey League
Rochester Americans|league=American Hockey League
Toronto Marlies|league=American Hockey League
Chicago Wolves|league=American Hockey League
Grand Rapids Griffins|league=American Hockey League
Milwaukee Admirals|league=American Hockey League
Peoria Rivermen|league=American Hockey League
Rockford IceHogs|league=American Hockey League
Charlotte Checkers|league=American Hockey League
Houston Aeros|league=American Hockey League
Oklahoma City Barons|league=American Hockey League
San Antonio Rampage|league=American Hockey League
Texas Stars|league=American Hockey League
Team Alberta CWHL|league=Canadian Women's Hockey League
Boston Blades|league=Canadian Women's Hockey League
Brampton Thunder|league=Canadian Women's Hockey League
Burlington Barracudas|league=Canadian Women's Hockey League
Toronto Furies|league=Canadian Women's Hockey League
Montreal Stars|league=Canadian Women's Hockey League
Elmira Jackals|league=ECHL
Reading Royals|league=ECHL
Trenton Titans|league=ECHL
Wheeling Nailers|league=ECHL
Cincinnati Cyclones|league=ECHL
Evansville IceMen|league=ECHL
Fort Wayne Komets|league=ECHL
Kalamazoo Wings|league=ECHL
Toledo Walleye|league=ECHL
Florida Everblades|league=ECHL
Greenville Road Warriors|league=ECHL
Gwinnett Gladiators|league=ECHL
Orlando Solar Bears|league=ECHL
South Carolina Stingrays|league=ECHL
Alaska Aces|league=ECHL
Colorado Eagles|league=ECHL
Idaho Steelheads|league=ECHL
Utah Grizzlies|league=ECHL
Bakersfield Condors|league=ECHL
Las Vegas Wranglers|league=ECHL
Ontario Reign|league=ECHL
San Francisco Bulls|league=ECHL
Stockton Thunder|league=ECHL
New Jersey Devils|league=National Hockey League
New York Islanders|league=National Hockey League
New York Rangers|league=National Hockey League
Philadelphia Flyers|league=National Hockey League
Pittsburgh Penguins|league=National Hockey League
Boston Bruins|league=National Hockey League
Buffalo Sabres|league=National Hockey League
Montreal Canadiens|league=National Hockey League
Ottawa Senators|league=National Hockey League
Toronto Maple Leafs|league=National Hockey League
Carolina Hurricanes|league=National Hockey League
Florida Panthers|league=National Hockey League
Tampa Bay Lightning|league=National Hockey League
Washington Capitals|league=National Hockey League
Winnipeg Jets|league=National Hockey League
Chicago Blackhawks|league=National Hockey League
Columbus Blue Jackets|league=National Hockey League
Detroit Red Wings|league=National Hockey League
Nashville Predators|league=National Hockey League
St. Louis Blues|league=National Hockey League
Calgary Flames|league=National Hockey League
Colorado Avalanche|league=National Hockey League
Edmonton Oilers|league=National Hockey League
Minnesota Wild|league=National Hockey League
Vancouver Canucks|league=National Hockey League
Anaheim Ducks|league=National Hockey League
Dallas Stars|league=National Hockey League
Los Angeles Kings|league=National Hockey League
Phoenix Coyotes|league=National Hockey League
San Jose Sharks|league=National Hockey League
Augusta RiverHawks|league=Southern Professional Hockey League
Columbus Cottonmouths|league=Southern Professional Hockey League
Fayetteville FireAntz|league=Southern Professional Hockey League
Huntsville Havoc|league=Southern Professional Hockey League
Knoxville Ice Bears|league=Southern Professional Hockey League
Louisiana IceGators|league=Southern Professional Hockey League
Mississippi RiverKings|league=Southern Professional Hockey League
Mississippi Surge|league=Southern Professional Hockey League
Pensacola Ice Flyers|league=Southern Professional Hockey League
Manitoba Maple Leafs|league=Western Women's Hockey League
Minnesota Whitecaps|league=Western Women's Hockey League
Atlanta Braves|league=Major League Baseball
Miami Marlins|league=Major League Baseball
New York Mets|league=Major League Baseball
Philadelphia Phillies|league=Major League Baseball
Washington Nationals|league=Major League Baseball
Chicago Cubs|league=Major League Baseball
Cincinnati Reds|league=Major League Baseball
Milwaukee Brewers|league=Major League Baseball
Pittsburgh Pirates|league=Major League Baseball
St. Louis Cardinals|league=Major League Baseball
Arizona Diamondbacks|league=Major League Baseball
Colorado Rockies|league=Major League Baseball
Los Angeles Dodgers|league=Major League Baseball
San Diego Padres|league=Major League Baseball
San Francisco Giants|league=Major League Baseball
Baltimore Orioles|league=Major League Baseball
Boston Red Sox|league=Major League Baseball
New York Yankees|league=Major League Baseball
Tampa Bay Rays|league=Major League Baseball
Toronto Blue Jays|league=Major League Baseball
Chicago White Sox|league=Major League Baseball
Cleveland Indians|league=Major League Baseball
Detroit Tigers|league=Major League Baseball
Kansas City Royals|league=Major League Baseball
Minnesota Twins|league=Major League Baseball
Houston Astros|league=Major League Baseball
Los Angeles Angels of Anaheim|league=Major League Baseball
Oakland Athletics|league=Major League Baseball
Seattle Mariners|league=Major League Baseball
Texas Rangers|league=Major League Baseball
Boston Cannons|league=Major League Lacrosse
Charlotte Hounds|league=Major League Lacrosse
Chesapeake Bayhawks|league=Major League Lacrosse
Denver Outlaws|league=Major League Lacrosse
Hamilton Nationals|league=Major League Lacrosse
New York Lizards|league=Major League Lacrosse
Ohio Machine|league=Major League Lacrosse
Rochester Rattlers|league=Major League Lacrosse
Buffalo Bandits|league=National Lacrosse League
Philadelphia Wings|league=National Lacrosse League
Rochester Knighthawks|league=National Lacrosse League
Toronto Rock|league=National Lacrosse League
Calgary Roughnecks|league=National Lacrosse League
Colorado Mammoth|league=National Lacrosse League
Edmonton Rush|league=National Lacrosse League
Minnesota Swarm|league=National Lacrosse League
Washington Stealth|league=National Lacrosse League
